source,source_id,url,published,company,title,seniority_tier,location,text_sha256,communication,collaboration,stakeholder_alignment,mentoring,leadership_influence,feedback_review,learning_adaptability,conflict_negotiation,empathy_listening,any_socioemotional,two_or_more,competency_count,core_competency_count
The Muse,21932930,https://www.themuse.com/jobs/spacex/sr-security-software-engineer-starlink-6bd5c7,2026-07-09,SpaceX,Sr. Security Software Engineer (Starlink) ,Senior,"Lockhart, TX",c1b0ae9eb3d84b2a1d22c6d9bdf40050f07ec74947f135be4a0633fb10b63e85,1,0,0,0,0,0,0,0,0,1,0,1,1
Remotive,2091056,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-belo-horizonte-2091056,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Belo Horizonte)",Staff/Principal,Brazil,41e3a247565d3ff3fd858f91922ca880742a2e414cc05fff97ecc67ebf302617,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091058,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-montevideo-2091058,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Montevideo)",Staff/Principal,Uruguay,3b7af9e9f4eb9401e46931221b077e60751b111eeeb7974bac3e2db54e8e9bb5,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091055,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-sao-paulo-2091055,2026-07-09,LawnStarter,"Staff Software Engineer, Product (São Paulo)",Staff/Principal,Brazil,ff74c18c748aea4f501f8facde1b1ba364807085c57d80095f4346f141f55a3d,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091050,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-mexico-city-2091050,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Mexico City)",Staff/Principal,Mexico,f6762dec35d1d06b8c095d9f2199e922282122f517500ee464a5c467fcd83f0a,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091049,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-campinas-2091049,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Campinas)",Staff/Principal,Brazil,b3a4d86505b9d75e6b04b44d9c45e182974d49f4f7d59ee273a2f3115d3270c1,0,0,0,0,1,0,0,0,0,1,0,1,1
Remotive,2091059,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-florianopolis-2091059,2026-07-09,LawnStarter,"Staff Software Engineer, Product (Florianópolis)",Staff/Principal,Brazil,987d3c14ca2d5939a5e0584ec98ed19c953b2b4e60f4001ee7bcc3f880fc1d21,0,0,0,0,1,0,0,0,0,1,0,1,1
Jobicy,149055,https://jobicy.com/jobs/149055-lead-ios-engineer,2026-07-09,Ruby Labs,Lead IOS Engineer,Lead,Europe,8c2d4ff929527f156f0e4a9ca64edad120f4f93444b2caa60c40e71eff5921cd,0,1,1,0,1,0,0,0,0,1,1,3,3
Jobicy,149054,https://jobicy.com/jobs/149054-lead-android-developer,2026-07-09,Ruby Labs,Lead Android Developer,Lead,Europe,c35040260a1e8da8989fb72f6b912f7d86431d25619dafcaaad37f9a954b8856,0,1,1,0,1,0,0,0,0,1,1,3,3
Jobicy,149053,https://jobicy.com/jobs/149053-senior-android-engineer,2026-07-09,Ruby Labs,Senior Android Engineer,Senior,Europe,fb22c4699f7cd52122e2cf91f94d8c5f7230e27159090ed5d5b867a9eada0bb9,0,1,0,0,1,1,1,0,0,1,1,4,3
The Muse,21893849,https://www.themuse.com/jobs/uber/staff-ios-engineer-core-services-eng,2026-07-09,Uber,"Staff iOS Engineer, Core Services Eng",Staff/Principal,"San Francisco, CA; Sunnyvale, CA",5da95e28d13daa79eb988c81962b87d5be328401c2d14e47eef16a9507727473,0,1,0,1,1,0,0,0,0,1,1,3,3
The Muse,21304310,https://www.themuse.com/jobs/uber/staff-software-engineer-4b970d,2026-07-09,Uber,Staff Software Engineer,Staff/Principal,"Sunnyvale, CA",03d63bc91d9da9a65d995fc5bb41b057b818978d02d907360d61bed0b6a6b774,0,0,0,0,1,0,0,0,0,1,0,1,1
The Muse,21731015,https://www.themuse.com/jobs/uber/staff-software-engineer-enterprise-platform,2026-07-09,Uber,Staff Software Engineer - Enterprise Platform,Staff/Principal,"Sunnyvale, CA",9285e6e36fa383ad90ecf7bf53508918cb1ba4c5b21c058b0e4d7ee964f7eec6,0,1,0,1,1,0,0,0,0,1,1,3,3
The Muse,21893865,https://www.themuse.com/jobs/uber/staff-software-engineer-av-labs-435d83,2026-07-09,Uber,Staff Software Engineer - AV Labs,Staff/Principal,"Sunnyvale, CA",821cfcafb0f65c9bec830d39109c8222bc9a8c42f6d3371a7db521fdbfa4a190,0,0,0,0,0,0,0,1,0,1,0,1,1
The Muse,21893847,https://www.themuse.com/jobs/uber/staff-android-engineer-core-services-eng,2026-07-09,Uber,"Staff Android Engineer, Core Services Eng",Staff/Principal,"San Francisco, CA; Sunnyvale, CA",0c294637f2f71865b62f396896aeafdc5485450883624b61ca878d49599dec36,0,1,0,1,1,0,0,0,0,1,1,3,3
The Muse,21238054,https://www.themuse.com/jobs/uber/sr-software-engineer-fulfillment-shopping-ordering-1283dc,2026-07-09,Uber,Sr Software Engineer - Fulfillment Shopping & Ordering,Senior,"San Francisco, CA; Sunnyvale, CA",ced08e36e84c6628b709b5ad3bc2e9f9c10869cce07da6516d91f314071a537d,1,1,0,0,1,1,0,0,0,1,1,4,3
The Muse,17572661,https://www.themuse.com/jobs/uber/principal-engineer-earner-backend,2026-07-09,Uber,"Principal Engineer, Earner, Backend",Staff/Principal,"San Francisco, CA",9a1c9a9ba58bb323fc0199b48879012ce000cd070a0f6bc6b0baa537fba83d64,0,0,0,1,1,0,0,0,0,1,1,2,2
The Muse,21455094,https://www.themuse.com/jobs/uber/senior-software-engineer-maps-localization-av-labs,2026-07-09,Uber,Senior Software Engineer - Maps & Localization - AV Labs,Senior,"Sunnyvale, CA",0588044b5e5bf9cd4b16edf5f0b95d9362a2b5391f7dd5cc50fba8a12094861c,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21893846,https://www.themuse.com/jobs/uber/staff-frontend-engineer-core-services-eng,2026-07-09,Uber,"Staff Frontend Engineer, Core Services Eng",Staff/Principal,"San Francisco, CA; Sunnyvale, CA",d3f771046e425b763d608fd6871d2de37b3129c6954df3bc13cd6727941d2863,0,1,0,0,0,0,0,0,0,1,0,1,1
The Muse,21932001,https://www.themuse.com/jobs/spacex/sr-software-engineer-telemetry-starlink-e3dc7d,2026-07-08,SpaceX,"Sr. Software Engineer, Telemetry (Starlink)",Senior,"El Segundo, CA; Redmond, WA",251abeeb6ed7645e3435803cb85768cc46c6b6536a344620c66b15b607e78de3,0,1,0,0,0,1,0,0,0,1,0,2,1
The Muse,21364897,https://www.themuse.com/jobs/spacex/sr-software-engineer-cdn-starlink,2026-07-08,SpaceX,"Sr. Software Engineer, CDN  (Starlink)",Senior,"Palo Alto, CA; Redmond, WA",3c0e406474630cb3de28b7a273feb2fd977b582a9e529ddeb08dd17b84f5c5a2,1,0,0,0,1,1,0,0,0,1,1,3,2
Himalayas,https://himalayas.app/companies/fuze-health/jobs/staff-software-engineer,https://himalayas.app/companies/fuze-health/jobs/staff-software-engineer,2026-07-08,Fuze Health,Staff Software Engineer,Staff/Principal,United States,cc340096bee9ebc6debaa01aed9ef0bf1a36b04b073e3ed5e86fed75b79ec264,0,1,0,0,1,0,0,0,0,1,1,2,2
The Muse,21928425,https://www.themuse.com/jobs/exadel/senior-software-engineer-java-de7a54,2026-07-08,Exadel,Senior Software Engineer (Java),Senior,"Barra do Garças, Brazil; Canada",86fa6c852c679ada57a46ede23ac9fe6aabad2e303a8753a55b04f9f453eb57f,1,1,1,0,0,0,0,0,0,1,1,3,3
The Muse,21775694,https://www.themuse.com/jobs/riotgames/senior-software-engineer-sdk-foundations-publishing-platform,2026-07-08,Riot Games,"Senior Software Engineer, SDK Foundations - Publishing Platform",Senior,"Los Angeles, CA",d860762a15d3961a74b5a20cf6d55aa34380c90794712011875bd24c77b14d5a,0,1,1,0,0,1,0,0,0,1,1,3,2
Himalayas,https://himalayas.app/companies/sezzle/jobs/senior-software-engineer-poland,https://himalayas.app/companies/sezzle/jobs/senior-software-engineer-poland,2026-07-08,Sezzle,Senior Software Engineer (Poland),Senior,Poland,b82bddce42e81aee9fab93ef1f62ddefddfb69d300c836c2d06e35cf02fe45cf,0,1,1,1,0,1,0,0,0,1,1,4,3
Himalayas,https://himalayas.app/companies/smithrx/jobs/senior-software-engineer-applications,https://himalayas.app/companies/smithrx/jobs/senior-software-engineer-applications,2026-07-08,SmithRx,"Senior Software Engineer, Applications",Senior,United States,66543fc4e4ed111d9b822cf8d7cb1f982f79ca6a7e3505eae07db119e8b3a080,1,1,1,1,0,1,0,0,1,1,1,6,5
The Muse,21928005,https://www.themuse.com/jobs/uber/staff-software-engineer-829cae,2026-07-08,Uber,Staff Software Engineer,Staff/Principal,"New York, NY; San Francisco, CA",ea89837f29c6387e66d5d3fb4539a0017a5c300ab7ac8393dd9cb4796496f248,0,1,0,0,1,0,0,0,0,1,1,2,2
The Muse,20584219,https://www.themuse.com/jobs/uber/senior-staff-software-engineer-financial-products-backend,2026-07-08,Uber,Senior Staff Software Engineer - Financial Products (Backend),Staff/Principal,"Sunnyvale, CA",cdc3cddc0c4ef33c736955836622f7d31d6cc921a5ed38e6884534393e8a51f6,0,1,0,0,1,1,0,0,0,1,1,3,2
The Muse,21660014,https://www.themuse.com/jobs/uber/senior-software-engineer-middleware-av-labs,2026-07-08,Uber,Senior Software Engineer - Middleware - AV Labs,Senior,"Sunnyvale, CA",d3c9009e0c6d4b6f8f880479d91ec982da5233c798bb0980cdf5a036ef7f3a4c,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21927662,https://www.themuse.com/jobs/thecocacolacompany/senior-software-engineer-a14cb1,2026-07-07,The Coca-Cola Company,Senior Software Engineer,Senior,"Atlanta, GA",a370e9079de1d48eaa5c470bc9862a8490b13153545720fe9496adbdcb0eda36,1,1,1,1,1,0,1,0,0,1,1,6,6
The Muse,21856864,https://www.themuse.com/jobs/riotgames/senior-software-engineer-riot-client-publishing-platform,2026-07-07,Riot Games,"Senior Software Engineer, Riot Client - Publishing Platform",Senior,"Los Angeles, CA",761379dc1b0d8a04fbd1320a85d6dccf2cc102f6318ca9f7ad9ce1970bf1f932,0,1,0,0,0,1,0,0,0,1,0,2,1
Himalayas,https://himalayas.app/companies/smithrx/jobs/senior-software-engineer-tools-frameworks-applications,https://himalayas.app/companies/smithrx/jobs/senior-software-engineer-tools-frameworks-applications,2026-07-07,SmithRx,"Senior Software Engineer - Tools & Frameworks, Applications",Senior,Canada; Germany; India; Ireland; Netherlands; United Kingdom; United States,8d9cdbbb0d8798584152ff00ac42916d88f373fc5060cdbcc09c405ad5705a6d,1,1,1,1,1,1,0,0,1,1,1,7,6
The Muse,21924270,https://www.themuse.com/jobs/celonis/senior-software-engineer-java-607e1c,2026-07-07,Celonis,Senior Software Engineer - Java,Senior,"Bangalore, India",74dc05384e518ca3f7add2476256fc0ba9ebcc5d8d50c61b79853d3f720a8935,0,1,0,0,0,0,0,0,0,1,0,1,1
The Muse,21601320,https://www.themuse.com/jobs/exadel/senior-software-engineer-java-quarkus,2026-07-07,Exadel,"Senior Software Engineer (Java, Quarkus)",Senior,"Barra do Garças, Brazil",c623c1e299f569db4fd3d1f4b3fe33f09f6a69d8d98f9060a234d9df35fd53c6,0,1,0,0,0,0,0,0,0,1,0,1,1
Jobicy,148917,https://jobicy.com/jobs/148917-senior-ios-engineer,2026-07-07,Ruby Labs,Senior IOS Engineer,Senior,Europe,e9c237c1635a4f12112b7197884492de583c103c18832a23522382f6b5ef0533,0,1,0,0,1,1,1,0,0,1,1,4,3
The Muse,21743290,https://www.themuse.com/jobs/uber/senior-software-engineer-av-labs-6ed22d,2026-07-07,Uber,Senior Software Engineer - AV Labs,Senior,"Sunnyvale, CA",a9a7e2da128ff735faf89767f7c6e4f073205fb75dc70ed9bc1a473a9985c8c6,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21280077,https://www.themuse.com/jobs/uber/staff-software-engineer-backend-core-services,2026-07-06,Uber,"Staff Software Engineer, Backend - Core Services",Staff/Principal,"Rio de Janeiro, Brazil; São Paulo, Brazil",ac9cba21304b7a22abbaf29447209ac5e815e6308a5fd6cf2e053d7b461092d3,0,0,0,1,0,1,0,0,0,1,0,2,1
The Muse,21759884,https://www.themuse.com/jobs/uber/staff-android-engineer-0f2da6,2026-07-06,Uber,Staff Android Engineer,Staff/Principal,"Bangalore, India",36124c0382a2df957ea8f28d70079b372db0e4a0cf0c2a52860bd3e33966540f,0,1,0,1,1,0,0,0,0,1,1,3,3
The Muse,21132701,https://www.themuse.com/jobs/uber/sr-staff-software-engineer-ios-safety,2026-07-06,Uber,"Sr. Staff Software Engineer, iOS - Safety",Staff/Principal,"São Paulo, Brazil",869fa78e6e995e88fe90bc868f7286fbee878fa88ff8e1024edac8572184ea70,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21776086,https://www.themuse.com/jobs/uber/senior-software-engineer-catalog-platform,2026-07-06,Uber,Senior Software Engineer - Catalog Platform,Senior,"Viborg, Denmark",c92e4101bafc105a15af04d8ab0473d7081e1679946a932b898b50a21799a9d9,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,20855337,https://www.themuse.com/jobs/uber/sr-software-engineer-delivery-rio-de-janeiro,2026-07-06,Uber,Sr Software Engineer - Delivery - Rio de Janeiro,Senior,"Rio de Janeiro, Brazil",11ac31b098a25cab9715b3fa69275ff1e5376ef8d208fbe5d320d77009a09e3d,1,1,0,1,0,1,0,0,0,1,1,4,3
The Muse,21648899,https://www.themuse.com/jobs/uber/senior-software-engineer-backend-4ff532,2026-07-06,Uber,"Senior Software Engineer, Backend",Senior,"Rio de Janeiro, Brazil",c1d1797a902caa2b67206b5c196d70614614130f7d070155b12483bb4dd84ba6,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muse,21166576,https://www.themuse.com/jobs/uber/sr-staff-engineer-backend-core-services-cc21e5,2026-07-06,Uber,"Sr Staff Engineer, Backend - Core Services",Staff/Principal,"Rio de Janeiro, Brazil; São Paulo, Brazil",16c33a7df5658ba4d98c20182645dfea428396902609d66a5a0355bccdb0b031,0,0,0,1,0,0,0,0,0,1,0,1,1
Jobicy,145290,https://jobicy.com/jobs/145290-senior-software-engineer-redapl-graph-engine,2026-07-05,Datadog,Senior Software Engineer - REDAPL Graph Engine,Senior,"France,  Germany,  Spain",f18060999071a1ba72df1ee13221f357995757a12856b6c41ea376dbdca03bba,0,1,0,1,0,0,0,0,0,1,1,2,2
Himalayas,https://himalayas.app/companies/iheartmedia/jobs/software-engineer,https://himalayas.app/companies/iheartmedia/jobs/software-engineer,2026-07-05,iHeartMedia,Software Engineer,Senior,United States,816e7bfad8a7f62b288c1dd8648ab52b1820d99798b94ec4c1c5430a4bf66b6e,1,1,0,0,0,1,1,0,0,1,1,4,3
Himalayas,https://himalayas.app/companies/emergent-software/jobs/software-engineer-team-lead,https://himalayas.app/companies/emergent-software/jobs/software-engineer-team-lead,2026-07-04,Emergent Software,Software Engineer Team Lead,Lead,United States,1934155f1cf00aae70aa38c0fb72dd8ba1b85c7431b0af77a73cdd177cff4e84,0,1,1,1,0,0,0,0,0,1,1,3,3
Himalayas,https://himalayas.app/companies/polyswarm/jobs/senior-software-engineer,https://himalayas.app/companies/polyswarm/jobs/senior-software-engineer,2026-07-03,PolySwarm,Senior Software Engineer,Senior,United States,5437031410c77d448c5f486d7fa2a653cdc228103177386781cf307293b7ec30,0,0,0,0,0,1,0,0,0,0,0,1,0
Himalayas,https://himalayas.app/companies/nearmap/jobs/senior-software-engineer,https://himalayas.app/companies/nearmap/jobs/senior-software-engineer,2026-07-03,Nearmap,Senior Software Engineer,Senior,United States,60ca5825b0a032a9ba4443bc16ab3b39fd0e9caa08837f5741500848d768eed1,0,1,0,0,0,0,0,0,0,1,0,1,1
Himalayas,https://himalayas.app/companies/magpie-literacy/jobs/senior-software-engineer,https://himalayas.app/companies/magpie-literacy/jobs/senior-software-engineer,2026-07-03,Magpie Literacy,Senior Software Engineer,Senior,United States,1131c6f7060c69649cf0a7fc8912949338efb6cada82c902870d8ca1eb48bfa7,0,1,1,1,1,1,1,0,0,1,1,6,5
Himalayas,https://himalayas.app/companies/tactiq/jobs/sr-software-engineer,https://himalayas.app/companies/tactiq/jobs/sr-software-engineer,2026-07-03,Tactiq,Sr. Software Engineer,Senior,United States,40c38a47372099ea49b30a4d24a8e9b0c1ddaaf798aaa8819cfb81e2d23282c1,1,1,1,0,0,1,1,0,0,1,1,5,4
Himalayas,https://himalayas.app/companies/upbound/jobs/senior-software-engineer,https://himalayas.app/companies/upbound/jobs/senior-software-engineer,2026-07-02,Upbound,Senior Software Engineer,Senior,Canada; Mexico; United States,a2ba42518646ae2600e854ef95e2afc479da10250f50a6beb528f0cab91e721b,0,1,1,0,1,0,0,0,1,1,1,4,4
The Muse,21910193,https://www.themuse.com/jobs/exadel/middlesenior-software-engineer-transparency-pricing-risk,2026-07-02,Exadel,Middle/Senior Software Engineer (Transparency Pricing & Risk),Senior,"Canada; Toronto, Canada",b49b4ac58aaef112682bcea8d26230c12a8fa0cc95120bdbdaac4091a91f5aca,0,1,0,1,1,0,0,0,0,1,1,3,3
Himalayas,https://himalayas.app/companies/technosylva/jobs/senior-software-engineer-spain-only,https://himalayas.app/companies/technosylva/jobs/senior-software-engineer-spain-only,2026-07-02,Technosylva,Senior Software Engineer (Spain Only),Senior,Spain,33af62c07c86f982f7467ecf21088fbee4b8cba16d0d5ae79284e10b8c8c6be0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himalayas,https://himalayas.app/companies/alkami-technology-inc/jobs/staff-software-engineer-3990642590,https://himalayas.app/companies/alkami-technology-inc/jobs/staff-software-engineer-3990642590,2026-07-02,"Alkami Technology, Inc.",Staff Software Engineer,Staff/Principal,India,237fdf78b63617f7fa3d3bb45f6d2eedea87745add91b7f93c6a4a18f12f3a3f,1,0,1,1,0,0,0,0,0,1,1,3,3
Himalayas,https://himalayas.app/companies/technosylva/jobs/staff-software-engineer-spain-only,https://himalayas.app/companies/technosylva/jobs/staff-software-engineer-spain-only,2026-07-02,Technosylva,Staff Software Engineer (Spain Only),Staff/Principal,Spain,d8bfd702f9ff53fce8e72a150d5532d557d8038afe43b234aa5cbdf1d5c5e77e,1,1,0,0,0,0,0,0,0,1,1,2,2
Himalayas,https://himalayas.app/companies/public-library-of-science/jobs/senior-software-engineer-2319410237,https://himalayas.app/companies/public-library-of-science/jobs/senior-software-engineer-2319410237,2026-07-02,Public Library of Science,Senior Software Engineer,Senior,United Kingdom,01a191a953cb78ed0e47b9ecd68f9039ac526bacedb689eb886fc7db197cee4e,0,1,0,0,0,1,1,0,0,1,1,3,2
Himalayas,https://himalayas.app/companies/parachute-health/jobs/senior-software-engineer,https://himalayas.app/companies/parachute-health/jobs/senior-software-engineer,2026-07-02,Parachute Health,Senior Software Engineer,Senior,United States,fa46942c651aea5226febeed312833ac1dd62eb9f60065e05f2c412f51247d2f,0,0,0,0,0,0,0,0,0,0,0,0,0
Himalayas,https://himalayas.app/companies/britecore/jobs/senior-software-engineer,https://himalayas.app/companies/britecore/jobs/senior-software-engineer,2026-07-02,BriteCore,Senior Software Engineer,Senior,Argentina; Brazil,c507efd389ec8ada43b2f86dbe90e77ba3d8dd2256d799897ba1c50782c7934f,1,1,1,0,1,1,0,0,0,1,1,5,4
Himalayas,https://himalayas.app/companies/3iq/jobs/software-engineer,https://himalayas.app/companies/3iq/jobs/software-engineer,2026-07-02,3iQ,Software Engineer,Senior,Canada,50507c557792539001f09a0d0bb7e27c9ef8b66f09a9bedd779aecf79e80d453,0,0,0,1,1,0,1,0,0,1,1,3,3
Himalayas,https://himalayas.app/companies/yipitdata/jobs/senior-software-engineer,https://himalayas.app/companies/yipitdata/jobs/senior-software-engineer,2026-07-02,YipitData,Senior Software Engineer,Senior,India,055764db57944c6a5f1dac69b3488bffbf7973d3dd2805dec4d3fc0bf6040c4e,0,1,1,0,0,0,0,0,0,1,1,2,2
Himalayas,https://himalayas.app/companies/ai-mech/jobs/software-engineer,https://himalayas.app/companies/ai-mech/jobs/software-engineer,2026-07-02,AI Mech,Software Engineer,Senior,United States,75e76001a08dc5ac548db93c81ce42ca0782bc48053917057cf0c8f09ca9fdc1,0,0,0,1,1,0,0,0,0,1,1,2,2
Himalayas,https://himalayas.app/companies/britive/jobs/senior-software-engineer,https://himalayas.app/companies/britive/jobs/senior-software-engineer,2026-07-01,Britive,Senior Software Engineer,Senior,United States,088d25a837540f2f1c0c414d3cff918d6e14364f62f6b7a9d2cdb22b38d6910e,0,1,0,0,0,1,0,0,0,1,0,2,1
Himalayas,https://himalayas.app/companies/people-ai/jobs/senior-software-engineer-matching-canada,https://himalayas.app/companies/people-ai/jobs/senior-software-engineer-matching-canada,2026-07-01,People.ai,Senior Software Engineer — Matching (Canada),Senior,Canada,0a08a877cb704824acca59a68168c2368b7e27e54a37e0eb00b334deacdcadca,0,0,0,0,0,0,0,0,0,0,0,0,0
Jobicy,148224,https://jobicy.com/jobs/148224-senior-platform-engineer,2026-07-01,Zartis,Senior Platform Engineer,Senior,Europe,4ef9506a9085072729c0549ed133772e747171a23f5edf1c902a26060740e502,1,1,0,1,0,0,0,0,0,1,1,3,3
The Muse,21711950,https://www.themuse.com/jobs/exadel/senior-software-engineer-calypso,2026-06-29,Exadel,Senior Software Engineer (Calypso),Senior,"Barra do Garças, Brazil; San Javier, Chile; Soacha, Colombia",87eb5b1879c6b4a65124685efb15e0116cf135489893061d264951e7a8d71552,0,1,0,0,0,0,0,0,0,1,0,1,1
The Muse,21789694,https://www.themuse.com/jobs/exadel/senior-fullstack-software-engineer-net-cd36b6,2026-06-29,Exadel,Senior Full-Stack Software Engineer (.NET),Senior,"Barra do Garças, Brazil",85dcd8e116e018b5af823e76eff57dd8f29d335639caf3e79975d59be54d6f76,0,1,0,0,0,1,0,0,0,1,0,2,1
The Muse,21862550,https://www.themuse.com/jobs/exadel/middlesenior-software-engineer-github-governance,2026-06-29,Exadel,Middle/Senior Software Engineer GitHub Governance,Senior,"São Paulo, Brazil",8ed9f6a070d71323408d54b09862d6b5851fa59f4f6491ae35fb3142ab8bb4de,0,1,0,0,1,0,0,0,0,1,1,2,2
Jobicy,148065,https://jobicy.com/jobs/148065-senior-backend-engineer,2026-06-29,Remote,Senior Backend Engineer,Senior,Europe,2b90bea42be8b4917ede30338e1b37f6ee4adc4767c45cf851237e082ccfc03c,0,0,0,0,1,1,1,0,0,1,1,3,2
Jobicy,144909,https://jobicy.com/jobs/144909-senior-android-engineer-2,2026-06-28,MLabs,Senior Android Engineer,Senior,"Germany,  Netherlands,  Poland,  Portugal",0fe98ab92780765f022a903faa7818f0b3d236b39a9f20016e16b65866540bbf,0,1,0,0,0,0,0,0,0,1,0,1,1
The Muse,21719336,https://www.themuse.com/jobs/warnerbrosdiscovery/senior-software-developer-tvos-0ce32c,2026-06-27,Warner Bros. Discovery,"Senior Software Developer, tvOS",Senior,"Kanata, Canada",b5a950f5cf4762394a320b13ad50deb39f5e967a13260a041a6e21d90f5eff8c,1,1,0,1,0,0,0,0,0,1,1,3,3
Jobicy,142111,https://jobicy.com/jobs/142111-senior-software-engineer-jax,2026-06-27,NVIDIA,"Senior Software Engineer, JAX",Senior,Europe,9c9f8970103a347b6f41b9133c6c4bf82b470d6b4049b166e9226ea7e887644b,1,0,0,0,0,0,0,0,0,1,0,1,1
Himalayas,https://himalayas.app/companies/autoscale-ventures/jobs/senior-software-engineer-canada-4477106811,https://himalayas.app/companies/autoscale-ventures/jobs/senior-software-engineer-canada-4477106811,2026-06-26,AutoScale Ventures,"Senior Software Engineer, Canada",Senior,Canada,96e163655686e89ee9b42b343c218940092a3a4b1b4de72dd2495182e161e25b,0,1,0,1,1,1,0,0,0,1,1,4,3
The Muse,21418137,https://www.themuse.com/jobs/spacex/sr-software-engineer-starlink-network-91ad4f,2026-06-26,SpaceX,"Sr. Software Engineer, Starlink Network",Senior,"Redmond, WA",b2bac238eb2471afeede99d42d6ad5b18a3a8fdac8342fe8bd11665afa3edd0d,0,0,0,0,1,1,0,0,0,1,0,2,1
The Muse,21502097,https://www.themuse.com/jobs/spacex/sr-software-engineer-simulations-application-software-f5df6c,2026-06-26,SpaceX,"Sr. Software Engineer, Simulations (Application Software)",Senior,"El Segundo, CA",82a3eab94b9cf3b9158a7cbe042d86a3666d41effe82cef81b9458b54642f67e,1,0,0,0,0,0,0,0,0,1,0,1,1
The Muse,21759407,https://www.themuse.com/jobs/spacex/sr-software-engineer-security-starship-bc6e8c,2026-06-26,SpaceX,"Sr. Software Engineer, Security (Starship)",Senior,"El Segundo, CA",fa2bfba0f79f064fa8d2034d92bc415052fb2a6c97edd42b35f51d3bb46bff61,1,1,0,0,0,0,0,0,0,1,1,2,2
The Muse,21821017,https://www.themuse.com/jobs/spacex/sr-software-engineer-propulsion-simulation-data-analysis-raptor-419af1,2026-06-26,SpaceX,"Sr. Software Engineer, Propulsion Simulation & Data Analysis (Raptor)",Senior,"El Segundo, CA",6d178ed7a4147db8a2e20c83a21085f762b15b9cfa4fc7c037380f504cff7a2f,1,1,0,0,0,0,0,0,0,1,1,2,2
The Muse,21706160,https://www.themuse.com/jobs/spacex/sr-software-engineer-hardware-test-automation-starshield-329621,2026-06-26,SpaceX,"Sr. Software Engineer, Hardware Test & Automation (Starshield)",Senior,"El Segundo, CA",43b95cf078375a0621d410eb2a166e342408b57a1cde4e55a63023519ac26b90,0,0,0,0,0,0,1,0,0,1,0,1,1
